SampleID,Actinopterygii,Aenigmarchaeia,Bathyarchaeia,Bivalvia,Hadarchaeia,Iainarchaeia,Ichthyosporea,LKM11,Lokiarchaeia,Methanomethylicia,Methanomicrobia,Methanosarcinia,Micrarchaeia,Nanoarchaeia,Nitrososphaeria,Odinarchaeia,Thermococci,Thermoplasmata,Unclassified,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
2-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815677966101695,0.0,0.0,0.0,0.0,0.0,0.0024531668153434435,0.17094112399643177,0.010927743086529884,0,0,1,0,0
2-15,0.0,0.0,0.0062658763759525825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3651143099068586,0.2740050804403048,0.0,0.0,0.0,0.0,0.2403048264182896,0.026079593564775613,0.0882303132938188,0,0,0,0,0
2-16,0.0,0.0,0.0015860428231562252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22700237906423473,0.7486122125297383,0.0,0.0,0.0,0.0,0.002973830293417922,0.013778747026169706,0.006046788263283109,0,0,0,0,0
2-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793190416141236,0.4274905422446406,0.0,0.0,0.0,0.0,0.25441361916771754,0.021595208070617905,0.017181588902900377,0,0,0,0,0
2-18,0.0,0.0,0.025206721792477994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3853027473993065,0.32475326753801015,0.0,0.0,0.011469725260069352,0.0,0.1911176313683649,0.018938383568951722,0.04321152307281942,0,0,0,0,0
2-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6348920863309353,0.011840527577937649,0.0,0.0,0.0,0.0,0.0044964028776978415,0.3232913669064748,0.025479616306954438,0,1,0,0,0
2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43230186708447577,0.40971406188797493,0.0,0.017887452670061366,0.0,0.0,0.1267789528659094,0.009139574356965661,0.004178091134612874,0,0,0,0,0
2-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6215397923875432,0.2635524798154556,0.0,0.0,0.0,0.0,0.0031718569780853517,0.06228373702422145,0.04945213379469435,0,1,1,0,0
2-21,0.0,0.0,0.0047952431188261245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3395032128128896,0.3794955404238995,0.0,0.0,0.0,0.0,0.24781816438093413,0.02081135513570538,0.007576484127745277,0,0,0,0,0
2-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3377270713336287,0.4191404519273372,0.0,0.0,0.0,0.0,0.08396101019051838,0.026805494018608773,0.13236597252990695,0,0,0,1,0
