SampleID,Aenigmarchaeota,Asgardarchaeota,Crenarchaeota,Cryptomycota,Euryarchaeota,Hadarchaeota,Halobacterota,Holozoa,Iainarchaeota,Micrarchaeota,Mollusca,Nanoarchaeota,Thermoplasmatota,Unclassified,Vertebrata,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
3-9,0.0,0.0,0.0,0.0,0.0004995912435280225,0.0,0.20337905350168045,0.0,0.0,0.0,0.0,0.0,0.08615678081569625,0.7099645744390953,0.0,0,0,1,0,0
4-1,0.0,0.0,0.0,0.0,0.0006325816774577659,0.0,0.9924834412443254,0.0,0.0,0.0,0.0,0.0,0.0038699114385651557,0.003014065639651708,0.0,0,0,0,0,0
4-10,0.0,0.0,0.00013219935662979774,0.0,0.054906799453575995,0.0,0.9082536464989204,0.0,0.0,0.0,0.0,0.0,0.0309787159035826,0.005728638787291235,0.0,0,0,0,0,0
4-11,0.0,0.0,0.028472020875616122,0.0,0.12235430559582487,0.0,0.8415772687735575,0.0,0.0,0.0,0.0,0.0,0.006610611771527979,0.0009857929834734705,0.0,0,0,0,0,0
4-12,0.0,0.0,0.0,0.0,0.003582819941451479,0.0,0.8931707956481846,0.0,0.0,0.0,0.0,0.0,0.10149866736575348,0.0017477170446104776,0.0,0,0,1,0,0
4-13,0.0,0.0,0.009996993385447985,0.0,0.0724594107035478,0.0,0.9065694527961515,0.0,0.0,0.0,0.0,0.01037282020444979,0.0,0.0006013229104028864,0.0,0,0,0,0,0
4-14,0.0,0.0,0.0,0.0,0.002263012320844858,0.0,0.9544044924985332,0.0,0.0,0.0,0.0,0.0,0.0428296035537675,0.0005028916268544129,0.0,0,1,1,0,0
4-15,0.0,0.0,0.0,0.0,0.1445099484156227,0.0,0.8389830508474576,0.0,0.0,0.0,0.0,0.0,0.016507000736919675,0.0,0.0,0,0,0,0,0
4-16,0.0,0.0,0.0,0.0,0.09338174026901559,0.0,0.906082609213189,0.0,0.0,0.0,0.0,0.0,0.0,0.0005356505177955005,0.0,0,0,0,0,0
4-17,0.0,0.0,0.002964295230482281,0.0,0.11957100985877964,0.0,0.8463562483346656,0.0,0.0,0.016953104183320012,0.0,0.0004996003197442046,0.01288968824940048,0.0007660538236077804,0.0,0,0,0,0,0
4-18,0.0,0.0,0.012619155696777122,0.0,0.15769405356332275,0.0,0.7990921470721744,0.0012709940989559692,0.0,0.004357694053563323,0.0,0.005129369042215161,0.01838402178847027,0.0014525646845211075,0.0,0,0,0,0,0
4-2,0.0,0.0,0.0016318877816742475,0.0,0.08225408839970834,0.0,0.9152459984028333,0.0,0.0,0.00038193118294503663,0.0,0.0004860942328391375,0.0,0.0,0.0,0,0,0,0,0
4-21,0.0,0.0025465602432535157,0.008285822881033827,0.0,0.15541619156214367,0.0,0.8036107943747625,0.0,0.0,0.0,0.0,0.01839604713036868,0.009502090459901177,0.002242493348536678,0.0,0,0,0,0,0
4-22,0.0,0.0,0.0,0.0,0.0036569831943131857,0.0,0.9768664995685582,0.0,0.0,0.0,0.0,0.0,0.01881908205612853,0.0006574351810001233,0.0,1,0,0,0,0
4-23,0.0,0.0,0.0016916895749629942,0.0,0.11214492140692182,0.0,0.8836963417212942,0.0,0.0,0.0,0.0,0.0005638965249876648,0.0,0.0019031507718333686,0.0,0,0,0,1,0
4-25,0.0,0.0,0.0,0.0,0.21601307189542485,0.0,0.7477124183006536,0.0,0.0,0.0,0.0,0.0,0.035076252723311545,0.0011982570806100218,0.0,0,0,0,0,0
4-26,0.0,0.0,0.004665391969407266,0.0,0.008183556405353728,0.0,0.9534225621414913,0.0,0.0,0.0,0.0,0.0,0.030210325047801148,0.003518164435946463,0.0,0,0,0,0,0
4-27,0.0,0.0,0.0,0.0,0.0034175433893989145,0.0,0.8974736983180326,0.0,0.0,0.0,0.0,0.0,0.09910875829256852,0.0,0.0,0,0,1,0,0
4-28,0.0,0.0,0.0,0.0,0.03640612044923494,0.0,0.9353282580839677,0.0,0.0,0.0,0.0,0.0,0.026381246702344163,0.0018843747644531545,0.0,0,1,1,0,0
4-29,0.0,0.0,0.0,0.0,0.17473766031869414,0.0,0.8129032258064516,0.0,0.0,0.0,0.0,0.00388651379712398,0.008472600077730276,0.0,0.0,0,0,0,0,0
4-3,0.0,0.0,0.002691096478671629,0.0,0.2484397366160893,0.0,0.7390208989407386,0.0,0.0,0.0006870884626395649,0.0,0.0021757801316919555,0.003950758660177498,0.0030346407099914115,0.0,0,0,0,0,0
4-30,0.0,0.0,0.0,0.0,0.14874010079193664,0.0,0.8209743220542357,0.0,0.0,0.0,0.0,0.0,0.030285577153827695,0.0,0.0,0,0,0,0,0
4-31,0.0,0.0,0.0,0.0,0.0025644313373509426,0.0,0.8786382869598667,0.0,0.0,0.0,0.0,0.0,0.11796384151814335,0.0008334401846390563,0.0,1,0,1,0,1
