domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
ARC,Order,2-19-ADPC,2-19,ADPC,ADPC,ADP
ARC,Order,2-2-BSNS,2-2,BSNS,BSNS,BSN
ARC,Order,2-20-YCGH,2-20,YCGH,YCGH,YCG
ARC,Order,2-21-YCDG,2-21,YCDG,YCDG,YCD
ARC,Order,2-22-UJGN,2-22,UJGN,UJGN,UJG
ARC,Order,2-23-CGSJ,2-23,CGSJ,CGSJ,CGS
ARC,Order,2-24-GHGHa,2-24,GHGHa,GHGHa,GHGa
ARC,Order,2-25-GHGHb,2-25,GHGHb,GHGHb,GHGb
ARC,Order,2-26-GHHM,2-26,GHHM,GHHM,GHH
ARC,Order,2-27-GHJY,2-27,GHJY,GHJY,GHJ
ARC,Order,2-28-MYSN,2-28,MYSN,MYSN,MYS
ARC,Order,2-29-SCHG-ARC,2-29,SCHG,SCHG-ARC,SCH
ARC,Order,2-3-BSIGa,2-3,BSIGa,BSIGa,BSI
ARC,Order,2-30-YSDM,2-30,YSDM,YSDM,YSD
ARC,Order,2-31-YSYS,2-31,YSYS,YSYS,YSY
ARC,Order,2-32-JJNG,2-32,JJNG,JJNG,JJN
ARC,Order,2-32'-JJYS,2-32',JJYS,JJYS,JJY
ARC,Order,2-33-CWMS,2-33,CWMS,CWMS,CWM
ARC,Order,2-34-CWSS,2-34,CWSS,CWSS,CWS
ARC,Order,2-4-BSOC,2-4,BSOC,BSOC,BSO
ARC,Order,2-5-BSES,2-5,BSES,BSES,BSE
ARC,Order,2-6-DGGW,2-6,DGGW,DGGW,DGG
ARC,Order,2-7-DGDS,2-7,DGDS,DGDS,DGD
ARC,Order,2-8-DGJY,2-8,DGJY,DGJY,DGJ
ARC,Order,2-9-DGGB,2-9,DGGB,DGGB,DGB
ARC,Order,3-1-BSSG,3-1,BSSG,BSSG,BSS
ARC,Order,3-10-DGDC,3-10,DGDC,DGDC,DGC
ARC,Order,3-11-DGYSa,3-11,DGYSa,DGYSa,DGY
ARC,Order,3-12-USOS,3-12,USOS,USOS,USO
ARC,Order,3-13-USYY,3-13,USYY,USYY,USY
ARC,Order,3-14-USYJ,3-14,USYJ,USYJ,USJ
ARC,Order,3-15-GSGA,3-15,GSGA,GSGA,GSG
ARC,Order,3-16-GCGD,3-16,GCGD,GCGD,GCG
ARC,Order,3-17-MGYS,3-17,MGYS,MGYS,MGY
ARC,Order,3-18-ADAS,3-18,ADAS,ADAS,ADA
ARC,Order,3-19-ADPC,3-19,ADPC,ADPC,ADP
ARC,Order,3-2-BSNS,3-2,BSNS,BSNS,BSN
ARC,Order,3-20-YCGH,3-20,YCGH,YCGH,YCG
ARC,Order,3-21-YCDG,3-21,YCDG,YCDG,YCD
ARC,Order,3-22-UJGN,3-22,UJGN,UJGN,UJG
ARC,Order,3-23-CGSJ,3-23,CGSJ,CGSJ,CGS
ARC,Order,3-24-GHGHa,3-24,GHGHa,GHGHa,GHGa
ARC,Order,3-25-GHGHb,3-25,GHGHb,GHGHb,GHGb
ARC,Order,3-26-GHHM,3-26,GHHM,GHHM,GHH
ARC,Order,3-27-GHJY,3-27,GHJY,GHJY,GHJ
ARC,Order,3-28-MYSN,3-28,MYSN,MYSN,MYS
ARC,Order,3-29-SCHG,3-29,SCHG,SCHG,SCH
ARC,Order,3-3-BSIGa,3-3,BSIGa,BSIGa,BSI
ARC,Order,3-30-YSDM,3-30,YSDM,YSDM,YSD
ARC,Order,3-31-YSYS,3-31,YSYS,YSYS,YSY
ARC,Order,3-32-JJNG,3-32,JJNG,JJNG,JJN
ARC,Order,3-32'-JJYS,3-32',JJYS,JJYS,JJY
ARC,Order,3-33-CWMS,3-33,CWMS,CWMS,CWM
ARC,Order,3-34-CWSS,3-34,CWSS,CWSS,CWS
ARC,Order,3-4-BSOC,3-4,BSOC,BSOC,BSO
ARC,Order,3-5-BSES,3-5,BSES,BSES,BSE
ARC,Order,3-6-DGGW,3-6,DGGW,DGGW,DGG
ARC,Order,3-7-DGDS,3-7,DGDS,DGDS,DGD
ARC,Order,3-8-DGJY,3-8,DGJY,DGJY,DGJ
ARC,Order,3-9-DGGB,3-9,DGGB,DGGB,DGB
ARC,Order,4-1-BSSG,4-1,BSSG,BSSG,BSS
ARC,Order,4-10-DGDC,4-10,DGDC,DGDC,DGC
ARC,Order,4-11-DGYSa,4-11,DGYSa,DGYSa,DGY
ARC,Order,4-12-USOS,4-12,USOS,USOS,USO
ARC,Order,4-13-USYY,4-13,USYY,USYY,USY
ARC,Order,4-14-USYJ,4-14,USYJ,USYJ,USJ
ARC,Order,4-15-GSGA,4-15,GSGA,GSGA,GSG
ARC,Order,4-16-GCGD,4-16,GCGD,GCGD,GCG
ARC,Order,4-17-MGYS,4-17,MGYS,MGYS,MGY
ARC,Order,4-18-ADAS,4-18,ADAS,ADAS,ADA
ARC,Order,4-2-BSNS,4-2,BSNS,BSNS,BSN
ARC,Order,4-21-YCDG,4-21,YCDG,YCDG,YCD
ARC,Order,4-22-UJGN,4-22,UJGN,UJGN,UJG
ARC,Order,4-23-CGSJ,4-23,CGSJ,CGSJ,CGS
ARC,Order,4-25-GHGHb,4-25,GHGHb,GHGHb,GHGb
ARC,Order,4-26-GHHM,4-26,GHHM,GHHM,GHH
ARC,Order,4-27-GHJY,4-27,GHJY,GHJY,GHJ
ARC,Order,4-28-MYSN,4-28,MYSN,MYSN,MYS
ARC,Order,4-29-SCHG,4-29,SCHG,SCHG,SCH
ARC,Order,4-3-BSIGa,4-3,BSIGa,BSIGa,BSI
ARC,Order,4-30-YSDM,4-30,YSDM,YSDM,YSD
ARC,Order,4-31-YSYS,4-31,YSYS,YSYS,YSY
ARC,Order,4-32-JJNG,4-32,JJNG,JJNG,JJN
ARC,Order,4-32'-JJYS,4-32',JJYS,JJYS,JJY
ARC,Order,4-33-CWMS,4-33,CWMS,CWMS,CWM
ARC,Order,4-34-CWSS,4-34,CWSS,CWSS,CWS
ARC,Order,4-4-BSOC,4-4,BSOC,BSOC,BSO
ARC,Order,4-5-BSES,4-5,BSES,BSES,BSE
ARC,Order,4-6-DGGW,4-6,DGGW,DGGW,DGG
ARC,Order,4-7-DGDS,4-7,DGDS,DGDS,DGD
ARC,Order,4-8-DGJY,4-8,DGJY,DGJY,DGJ
ARC,Order,4-9-DGGB,4-9,DGGB,DGGB,DGB
