Model,domain,feature,importance,taxonomic_level
XGBoost,Bacteria,BAC_O::Thermoanaerobacterales,0.0054272811859846,Order
XGBoost,Bacteria,BAC_O::Petrotogales,0.0052609656006097,Order
XGBoost,Bacteria,BAC_O::JS1,0.0052328443154692,Order
XGBoost,Bacteria,BAC_O::0319-6G20,0.0051742501556873,Order
XGBoost,Bacteria,BAC_O::Aminicenantales,0.0048532512038946,Order
XGBoost,Bacteria,BAC_O::Synergistales,0.0043715622276067,Order
XGBoost,Bacteria,BAC_O::M55-D21,0.0038506142795085,Order
XGBoost,Bacteria,BAC_O::Dethiobacterales,0.0038430329412221,Order
XGBoost,Bacteria,BAC_O::Marinimicrobia_(SAR406_clade),0.0036115478724241,Order
XGBoost,Bacteria,BAC_O::DS-100,0.0035958282649517,Order
XGBoost,Bacteria,BAC_O::B55-F-B-G02,0.003148191794753,Order
XGBoost,Bacteria,BAC_O::Geobacterales,0.0031442996114492,Order
XGBoost,Bacteria,BAC_O::DTU014,0.0030406676232814,Order
XGBoost,Bacteria,BAC_O::Pirellulales,0.0028505362570285,Order
XGBoost,Bacteria,BAC_O::Oligosphaerales,0.0025321381166577,Order
XGBoost,Bacteria,BAC_O::Absconditabacteriales_(SR1),0.0024653619155287,Order
XGBoost,Bacteria,BAC_O::Thermacetogeniales,0.0023816742002964,Order
XGBoost,Bacteria,BAC_O::Erysipelotrichales,0.0022362051531672,Order
XGBoost,Bacteria,BAC_O::Micrococcales,0.0021467918530106,Order
XGBoost,Archaea,ARC_O::Woesearchaeales,0.0021447962149977,Order
XGBoost,Bacteria,BAC_O::Pseudomonadales,0.0014297420158982,Order
XGBoost,Bacteria,BAC_O::Actinomycetales,0.0006390246562659,Order
XGBoost,Archaea,ARC_O::Aenigmarchaeales,0.0,Order
XGBoost,Archaea,ARC_O::Lokiarchaeia,0.0,Order
XGBoost,Archaea,ARC_O::Methanomethyliales,0.0,Order
XGBoost,Archaea,ARC_O::Micrarchaeales,0.0,Order
XGBoost,Archaea,ARC_O::Nitrososphaerales,0.0,Order
XGBoost,Archaea,ARC_O::Rhinosporideacae,0.0,Order
XGBoost,Archaea,ARC_O::Teleostei,0.0,Order
XGBoost,Archaea,ARC_O::Veneroida,0.0,Order
XGBoost,Bacteria,BAC_O::053A03-B-DI-P58,0.0,Order
XGBoost,Bacteria,BAC_O::1-20,0.0,Order
XGBoost,Bacteria,BAC_O::113B434,0.0,Order
XGBoost,Bacteria,BAC_O::Acetothermiia,0.0,Order
XGBoost,Bacteria,BAC_O::Acidaminococcales,0.0,Order
XGBoost,Bacteria,BAC_O::Acidobacteriae,0.0,Order
XGBoost,Bacteria,BAC_O::Aeromonadales,0.0,Order
XGBoost,Bacteria,BAC_O::Alteromonadales,0.0,Order
XGBoost,Bacteria,BAC_O::Ardenticatenales,0.0,Order
XGBoost,Bacteria,BAC_O::Arenicellales,0.0,Order
XGBoost,Bacteria,BAC_O::BRH-c20a,0.0,Order
XGBoost,Bacteria,BAC_O::Babeliales,0.0,Order
XGBoost,Bacteria,BAC_O::Bacillales,0.0,Order
XGBoost,Bacteria,BAC_O::Bacteriovoracales,0.0,Order
XGBoost,Bacteria,BAC_O::Bacteroidetes_VC2.1_Bac22,0.0,Order
XGBoost,Bacteria,BAC_O::Bdellovibrionales,0.0,Order
XGBoost,Bacteria,BAC_O::Blastocatellales,0.0,Order
XGBoost,Bacteria,BAC_O::Brachyspirales,0.0,Order
XGBoost,Bacteria,BAC_O::Bradymonadales,0.0,Order
