fold,feature
3,BAC_O::Thermacetogeniales
3,BAC_O::Thermales
3,BAC_O::Thermoanaerobacterales
3,BAC_O::Thermoanaerobaculales
3,BAC_O::Thermotogales
3,BAC_O::Thermovenabulales
3,BAC_O::Veillonellales-Selenomonadales
3,BAC_O::Verrucomicrobiales
3,BAC_O::Vibrionales
3,BAC_O::Vicinamibacterales
3,BAC_O::WCHB1-41
3,BAC_O::WCHB1-81
3,BAC_O::WPS-2
3,BAC_O::WS1
3,BAC_O::WWE3
3,BAC_O::Xanthomonadales
3,BAC_O::Zixibacteria
3,BAC_O::c5LKS83
3,BAC_O::unidentified
3,ARC_O::Aenigmarchaeales
3,ARC_O::Bathyarchaeia
3,ARC_O::Lokiarchaeia
3,ARC_O::Methanofastidiosales
3,ARC_O::Methanomassiliicoccales
3,ARC_O::Methanomethyliales
3,ARC_O::Methanomicrobiales
3,ARC_O::Methanosarciniales
3,ARC_O::Micrarchaeales
3,ARC_O::Nitrososphaerales
3,ARC_O::Rhinosporideacae
3,ARC_O::Teleostei
3,ARC_O::Veneroida
3,ARC_O::Woesearchaeales
3,ARC_O::unidentified
4,BAC_O::0319-6G20
4,BAC_O::053A03-B-DI-P58
4,BAC_O::1-20
4,BAC_O::113B434
4,BAC_O::Absconditabacteriales_(SR1)
4,BAC_O::Acetobacterales
4,BAC_O::Acetothermiia
4,BAC_O::Acholeplasmatales
4,BAC_O::Acidaminococcales
4,BAC_O::Acidobacteriae
4,BAC_O::Actinomycetales
4,BAC_O::Aeromonadales
4,BAC_O::Alteromonadales
4,BAC_O::Aminicenantales
4,BAC_O::Anaerolineales
4,BAC_O::Ardenticatenales
4,BAC_O::B55-F-B-G02
4,BAC_O::BRH-c20a
4,BAC_O::Babeliales
4,BAC_O::Bacillales
4,BAC_O::Bacteriovoracales
4,BAC_O::Bacteroidales
4,BAC_O::Bacteroidetes_VC2.1_Bac22
4,BAC_O::Bdellovibrionales
4,BAC_O::Bifidobacteriales
4,BAC_O::Blastocatellales
4,BAC_O::Brachyspirales
4,BAC_O::Bradymonadales
4,BAC_O::Bryobacterales
4,BAC_O::Burkholderiales
4,BAC_O::C10-SB1A
4,BAC_O::CCM19a
4,BAC_O::CK-2C2-2
4,BAC_O::Caldatribacteriales
4,BAC_O::Caldicoprobacterales
4,BAC_O::Caldilineales
4,BAC_O::Caldisericales
4,BAC_O::Campylobacterales
4,BAC_O::Candidatus_Falkowbacteria
4,BAC_O::Candidatus_Peregrinibacteria
4,BAC_O::Candidatus_Shapirobacteria
4,BAC_O::Cardiobacteriales
4,BAC_O::Caulobacterales
4,BAC_O::Cellvibrionales
4,BAC_O::Chitinophagales
4,BAC_O::Chlamydiales
4,BAC_O::Christensenellales
4,BAC_O::Chthoniobacterales
4,BAC_O::Chthonomonadales
4,BAC_O::Cloacimonadales
4,BAC_O::Clostridia
4,BAC_O::Clostridia_UCG-014
4,BAC_O::Clostridiales
4,BAC_O::Competibacterales
4,BAC_O::Coprothermobacterales
4,BAC_O::Coriobacteriales
4,BAC_O::Corynebacteriales
4,BAC_O::Cytophagales
4,BAC_O::D8A-2
4,BAC_O::DS-100
4,BAC_O::DTU014
4,BAC_O::Defluviicoccales
4,BAC_O::Deinococcales
4,BAC_O::Desulfitibacterales
4,BAC_O::Desulfitobacteriales
4,BAC_O::Desulfobulbales
4,BAC_O::Desulfotomaculales
4,BAC_O::Desulfovibrionales
4,BAC_O::Desulfuromonadia
4,BAC_O::Dethiobacterales
4,BAC_O::Diplorickettsiales
4,BAC_O::Ectothiorhodospirales
4,BAC_O::Elsterales
4,BAC_O::Endomicrobiales
4,BAC_O::Enterobacterales
4,BAC_O::Erysipelotrichales
4,BAC_O::Eubacteriales
4,BAC_O::Fermentibacterales
4,BAC_O::Fibrobacterales
4,BAC_O::Fimbriimonadales
4,BAC_O::Flavobacteriales
4,BAC_O::Frankiales
4,BAC_O::Fusobacteriales
4,BAC_O::Gaiellales
4,BAC_O::Gammaproteobacteria_Incertae_Sedis
4,BAC_O::Gemmatales
4,BAC_O::Gemmatimonadales
4,BAC_O::Geobacterales
4,BAC_O::HOC36
4,BAC_O::Halanaerobiales
4,BAC_O::Haliangiales
4,BAC_O::Holophagales
4,BAC_O::Hydrogenedentiales
4,BAC_O::Hydrothermae
4,BAC_O::IMCC26256
4,BAC_O::Ignavibacteriales
4,BAC_O::Incertae_Sedis
4,BAC_O::Isosphaerales
4,BAC_O::Izemoplasmatales
4,BAC_O::JG36-GS-52
4,BAC_O::JS1
4,BAC_O::Kapabacteriales
4,BAC_O::Kosmotogales
4,BAC_O::LD1-PA32
4,BAC_O::LD1-PB3
4,BAC_O::Lachnospirales
4,BAC_O::Lactobacillales
4,BAC_O::Leptospirales
4,BAC_O::Limnochordales
4,BAC_O::Limnochordia
4,BAC_O::M55-D21
4,BAC_O::MAT-CR-H4-C10
4,BAC_O::MBA03
4,BAC_O::MSBL9
4,BAC_O::MVP-15
4,BAC_O::Marinimicrobia_(SAR406_clade)
4,BAC_O::Methylococcales
4,BAC_O::Micavibrionales
4,BAC_O::Micrococcales
4,BAC_O::Microtrichales
4,BAC_O::Monoglobales
4,BAC_O::Myxococcales
4,BAC_O::NKB15
4,BAC_O::Nannocystales
4,BAC_O::Nitrosococcales
4,BAC_O::Nitrospirales
4,BAC_O::OLB14
4,BAC_O::OPB41
4,BAC_O::Oceanospirillales
4,BAC_O::Oligosphaerales
4,BAC_O::Omnitrophales
4,BAC_O::Oscillospirales
4,BAC_O::PB19
4,BAC_O::PLTA13
4,BAC_O::PeM15
4,BAC_O::Pedosphaerales
4,BAC_O::Peptococcales
4,BAC_O::Peptostreptococcales-Tissierellales
4,BAC_O::Petrotogales
4,BAC_O::Phycisphaerales
4,BAC_O::Pirellulales
4,BAC_O::Pla3_lineage
4,BAC_O::Planctomycetales
4,BAC_O::Polyangiales
4,BAC_O::Propionibacteriales
4,BAC_O::Proteinivoracales
4,BAC_O::Pseudomonadales
4,BAC_O::RBG-13-54-9
4,BAC_O::RBG-16-55-12
4,BAC_O::Reyranellales
4,BAC_O::Rhizobiales
4,BAC_O::Rhodobacterales
4,BAC_O::Rhodospirillales
4,BAC_O::Rickettsiales
4,BAC_O::Run-SP154
4,BAC_O::SBR1031
4,BAC_O::SJA-15
4,BAC_O::SJA-28
4,BAC_O::SM1A07
4,BAC_O::Saccharimonadales
4,BAC_O::Solibacterales
4,BAC_O::Solirubrobacterales
4,BAC_O::Sphingobacteriales
4,BAC_O::Sphingomonadales
4,BAC_O::Spirochaetales
4,BAC_O::Steroidobacterales
4,BAC_O::Sumerlaeales
4,BAC_O::Sva0485
4,BAC_O::Symbiobacteriales
4,BAC_O::Synergistales
4,BAC_O::Syntrophales
4,BAC_O::Syntrophobacterales
4,BAC_O::Syntrophomonadales
4,BAC_O::Syntrophorhabdales
4,BAC_O::TA06
4,BAC_O::Thermacetogeniales
4,BAC_O::Thermales
4,BAC_O::Thermoanaerobacterales
4,BAC_O::Thermoanaerobaculales
4,BAC_O::Thermotogales
4,BAC_O::Thermovenabulales
4,BAC_O::Veillonellales-Selenomonadales
4,BAC_O::Verrucomicrobiales
4,BAC_O::Vibrionales
4,BAC_O::Vicinamibacterales
4,BAC_O::WCHB1-41
4,BAC_O::WCHB1-81
4,BAC_O::WPS-2
4,BAC_O::WS1
4,BAC_O::WWE3
4,BAC_O::Xanthomonadales
4,BAC_O::Zixibacteria
4,BAC_O::c5LKS83
4,BAC_O::unidentified
4,ARC_O::Aenigmarchaeales
4,ARC_O::Bathyarchaeia
4,ARC_O::Lokiarchaeia
4,ARC_O::Methanofastidiosales
4,ARC_O::Methanomassiliicoccales
4,ARC_O::Methanomethyliales
4,ARC_O::Methanomicrobiales
4,ARC_O::Methanosarciniales
4,ARC_O::Micrarchaeales
4,ARC_O::Nitrososphaerales
4,ARC_O::Teleostei
4,ARC_O::Veneroida
4,ARC_O::Woesearchaeales
4,ARC_O::unidentified
5,BAC_O::0319-6G20
5,BAC_O::053A03-B-DI-P58
5,BAC_O::1-20
5,BAC_O::113B434
5,BAC_O::Absconditabacteriales_(SR1)
5,BAC_O::Acetobacterales
5,BAC_O::Acholeplasmatales
5,BAC_O::Acidaminococcales
5,BAC_O::Acidobacteriae
5,BAC_O::Actinomycetales
5,BAC_O::Aeromonadales
5,BAC_O::Alteromonadales
5,BAC_O::Aminicenantales
5,BAC_O::Anaerolineales
5,BAC_O::Ardenticatenales
5,BAC_O::Arenicellales
5,BAC_O::B55-F-B-G02
5,BAC_O::BRH-c20a
5,BAC_O::Babeliales
5,BAC_O::Bacillales
5,BAC_O::Bacteriovoracales
5,BAC_O::Bacteroidales
5,BAC_O::Bacteroidetes_VC2.1_Bac22
5,BAC_O::Bdellovibrionales
5,BAC_O::Bifidobacteriales
5,BAC_O::Blastocatellales
5,BAC_O::Brachyspirales
5,BAC_O::Bradymonadales
5,BAC_O::Bryobacterales
5,BAC_O::Burkholderiales
5,BAC_O::C10-SB1A
5,BAC_O::CCM19a
