Taxon,mean_relative_abundance_percent,domain,rank,selected
Acetoanaerobium,0.019321428571428573,BAC,Genus,False
Enhydrobacter,0.01893571428571429,BAC,Genus,False
Halomonas,0.018828571428571427,BAC,Genus,False
Desulfitibacter,0.01844285714285714,BAC,Genus,False
Methyloparacoccus,0.0183,BAC,Genus,False
Hydrogenispora,0.018292857142857145,BAC,Genus,False
Cryptanaerobacter,0.018164285714285716,BAC,Genus,False
Lachnoclostridium,0.018107142857142856,BAC,Genus,False
Syntrophotalea,0.017907142857142854,BAC,Genus,False
WPS-2,0.01788571428571429,BAC,Genus,False
Holophaga,0.017757142857142857,BAC,Genus,False
Planctomicrobium,0.017657142857142857,BAC,Genus,False
Leuconostoc,0.01762857142857143,BAC,Genus,False
F082,0.017621428571428573,BAC,Genus,False
Luteimonas,0.0176,BAC,Genus,False
Membranicola,0.01755,BAC,Genus,False
Sva0485,0.017092857142857142,BAC,Genus,False
Globicatella,0.016900000000000002,BAC,Genus,False
Lachnospiraceae_UCG-004,0.016764285714285714,BAC,Genus,False
U29-B03,0.01650714285714286,BAC,Genus,False
Halocella,0.016242857142857142,BAC,Genus,False
Gallicola,0.01619285714285714,BAC,Genus,False
Pla3_lineage,0.015878571428571426,BAC,Genus,False
UCG-002,0.015785714285714285,BAC,Genus,False
BBMC-4,0.015599999999999994,BAC,Genus,False
TPD-58,0.015457142857142859,BAC,Genus,False
Proteiniborus,0.015357142857142863,BAC,Genus,False
Limnochordaceae,0.01481428571428571,BAC,Genus,False
B55-F-B-G02,0.014721428571428564,BAC,Genus,False
Fonticella,0.01467857142857143,BAC,Genus,False
Ornithinibacter,0.014585714285714285,BAC,Genus,False
ADurb.Bin063-2,0.014485714285714282,BAC,Genus,False
Acetivibrio,0.014064285714285713,BAC,Genus,False
Bdellovibrio,0.013914285714285709,BAC,Genus,False
Crassaminicella,0.013857142857142854,BAC,Genus,False
CI75cm.2.12,0.01379285714285714,BAC,Genus,False
Pseudobacteroides,0.01377857142857143,BAC,Genus,False
Pantoea,0.013378571428571429,BAC,Genus,False
Bacteroidetes_BD2-2,0.013378571428571427,BAC,Genus,False
Thioclava,0.013249999999999998,BAC,Genus,False
LWQ8,0.013178571428571428,BAC,Genus,False
Proteocatella,0.013171428571428574,BAC,Genus,False
PBS-18,0.013078571428571429,BAC,Genus,False
Rivicola,0.01279285714285714,BAC,Genus,False
Sutterella,0.012621428571428572,BAC,Genus,False
Pseudoxanthomonas,0.01257142857142857,BAC,Genus,False
Vermiphilaceae,0.012514285714285709,BAC,Genus,False
NKB15,0.012457142857142858,BAC,Genus,False
Caulobacter,0.012214285714285714,BAC,Genus,False
Lenti-02,0.012192857142857139,BAC,Genus,False
Candidatus_Peregrinibacteria,0.01215,BAC,Genus,False
Phaeodactylibacter,0.012000000000000002,BAC,Genus,False
Oligella,0.011964285714285714,BAC,Genus,False
TM7a,0.01185,BAC,Genus,False
Sporanaerobacter,0.011699999999999999,BAC,Genus,False
Galbitalea,0.011664285714285714,BAC,Genus,False
Symbiobacterium,0.011628571428571429,BAC,Genus,False
Leeia,0.01160714285714286,BAC,Genus,False
UCG-012,0.011414285714285717,BAC,Genus,False
Roseomonas,0.0113,BAC,Genus,False
Frisingicoccus,0.011271428571428571,BAC,Genus,False
Hungateiclostridiaceae,0.011235714285714285,BAC,Genus,False
C1-B045,0.011014285714285716,BAC,Genus,False
Enterococcus,0.011014285714285714,BAC,Genus,False
Acetitomaculum,0.010964285714285713,BAC,Genus,False
Shinella,0.01095,BAC,Genus,False
XBB1006,0.010907142857142858,BAC,Genus,False
IMCC26256,0.01054285714285714,BAC,Genus,False
Candidatus_Anammoximicrobium,0.010435714285714284,BAC,Genus,False
Ignavibacterium,0.010350000000000002,BAC,Genus,False
Proteiniclasticum,0.010342857142857143,BAC,Genus,False
Acidibacter,0.01017142857142857,BAC,Genus,False
Psychrobacter,0.010071428571428571,BAC,Genus,False
67-14,0.010064285714285717,BAC,Genus,False
Rhodoferax,0.009992857142857144,BAC,Genus,False
Proteus,0.009835714285714288,BAC,Genus,False
WWE3,0.009807142857142856,BAC,Genus,False
Acetobacter,0.009714285714285713,BAC,Genus,False
Reyranella,0.009621428571428569,BAC,Genus,False
YC-ZSS-LKJ63,0.009585714285714284,BAC,Genus,False
Weissella,0.009557142857142856,BAC,Genus,False
Myroides,0.009507142857142856,BAC,Genus,False
env.OPS_17,0.009478571428571426,BAC,Genus,False
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.009464285714285715,BAC,Genus,False
Iamia,0.0094,BAC,Genus,False
Methylocaldum,0.00937142857142857,BAC,Genus,False
GZKB124,0.009307142857142858,BAC,Genus,False
Truepera,0.0093,BAC,Genus,False
Z4MB62,0.00925,BAC,Genus,False
CCM19a,0.009192857142857143,BAC,Genus,False
113B434,0.009085714285714287,BAC,Genus,False
Koukoulia,0.00902857142857143,BAC,Genus,False
Legionella,0.008835714285714287,BAC,Genus,False
cvE6,0.008714285714285713,BAC,Genus,False
Calditrichaceae,0.008657142857142855,BAC,Genus,False
T34,0.008600000000000002,BAC,Genus,False
Z20,0.008535714285714287,BAC,Genus,False
Aquimonas,0.008535714285714285,BAC,Genus,False
Providencia,0.0085,BAC,Genus,False
Candidatus_Saccharimonas,0.008414285714285714,BAC,Genus,False
Neochlamydia,0.008257142857142855,BAC,Genus,False
JG36-GS-52,0.008242857142857142,BAC,Genus,False
Mesorhizobium,0.008164285714285714,BAC,Genus,False
Oscillospira,0.007885714285714286,BAC,Genus,False
Ferribacterium,0.00787857142857143,BAC,Genus,False
Leucobacter,0.007871428571428573,BAC,Genus,False
Murdochiella,0.007849999999999998,BAC,Genus,False
Bosea,0.007814285714285713,BAC,Genus,False
Limnochordia,0.0077,BAC,Genus,False
Bryobacter,0.00767857142857143,BAC,Genus,False
Dadabacteriales,0.00767857142857143,BAC,Genus,False
H1,0.007678571428571428,BAC,Genus,False
Phenylobacterium,0.007657142857142858,BAC,Genus,False
Morganella,0.007628571428571427,BAC,Genus,False
Serratia,0.007521428571428571,BAC,Genus,False
Prevotellaceae_UCG-004,0.007514285714285715,BAC,Genus,False
Chitinivorax,0.007499999999999999,BAC,Genus,False
horsej-a03,0.0074357142857142886,BAC,Genus,False
Dermatophilus,0.007392857142857144,BAC,Genus,False
Propionispira,0.007278571428571428,BAC,Genus,False
KD4-96,0.007264285714285715,BAC,Genus,False
Candidatus_Obscuribacter,0.007228571428571429,BAC,Genus,False
Raoultibacter,0.007214285714285715,BAC,Genus,False
SM1A02,0.007207142857142858,BAC,Genus,False
Zixibacteria,0.00707857142857143,BAC,Genus,False
Candidatus_Falkowbacteria,0.0070071428571428585,BAC,Genus,False
Hahella,0.006942857142857143,BAC,Genus,False
Terrisporobacter,0.006842857142857143,BAC,Genus,False
Propioniciclava,0.006621428571428572,BAC,Genus,False
Uliginosibacterium,0.006600000000000001,BAC,Genus,False
Berkelbacteria,0.006564285714285715,BAC,Genus,False
MD2902-B12,0.006400000000000001,BAC,Genus,False
NK-L14,0.006392857142857143,BAC,Genus,False
Blastopirellula,0.006357142857142859,BAC,Genus,False
Falsirhodobacter,0.006285714285714286,BAC,Genus,False
Sphingobacterium,0.006207142857142857,BAC,Genus,False
BSV26,0.006192857142857145,BAC,Genus,False
