domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
ARC,Genus,4-12-USOS,4-12,USOS,USOS,USO
ARC,Genus,4-13-USYY,4-13,USYY,USYY,USY
ARC,Genus,4-14-USYJ,4-14,USYJ,USYJ,USJ
ARC,Genus,4-15-GSGA,4-15,GSGA,GSGA,GSG
ARC,Genus,4-16-GCGD,4-16,GCGD,GCGD,GCG
ARC,Genus,4-17-MGYS,4-17,MGYS,MGYS,MGY
ARC,Genus,4-18-ADAS,4-18,ADAS,ADAS,ADA
ARC,Genus,4-2-BSNS,4-2,BSNS,BSNS,BSN
ARC,Genus,4-21-YCDG,4-21,YCDG,YCDG,YCD
ARC,Genus,4-22-UJGN,4-22,UJGN,UJGN,UJG
ARC,Genus,4-23-CGSJ,4-23,CGSJ,CGSJ,CGS
ARC,Genus,4-25-GHGHb,4-25,GHGHb,GHGHb,GHGb
ARC,Genus,4-26-GHHM,4-26,GHHM,GHHM,GHH
ARC,Genus,4-27-GHJY,4-27,GHJY,GHJY,GHJ
ARC,Genus,4-28-MYSN,4-28,MYSN,MYSN,MYS
ARC,Genus,4-29-SCHG,4-29,SCHG,SCHG,SCH
ARC,Genus,4-3-BSIGa,4-3,BSIGa,BSIGa,BSI
ARC,Genus,4-30-YSDM,4-30,YSDM,YSDM,YSD
ARC,Genus,4-31-YSYS,4-31,YSYS,YSYS,YSY
ARC,Genus,4-32-JJNG,4-32,JJNG,JJNG,JJN
ARC,Genus,4-32'-JJYS,4-32',JJYS,JJYS,JJY
ARC,Genus,4-33-CWMS,4-33,CWMS,CWMS,CWM
ARC,Genus,4-34-CWSS,4-34,CWSS,CWSS,CWS
ARC,Genus,4-4-BSOC,4-4,BSOC,BSOC,BSO
ARC,Genus,4-5-BSES,4-5,BSES,BSES,BSE
ARC,Genus,4-6-DGGW,4-6,DGGW,DGGW,DGG
ARC,Genus,4-7-DGDS,4-7,DGDS,DGDS,DGD
ARC,Genus,4-8-DGJY,4-8,DGJY,DGJY,DGJ
ARC,Genus,4-9-DGGB,4-9,DGGB,DGGB,DGB
