Model,candidate,scope,params,MCC_warning_acid_base_balance,AUPR_warning_acid_base_balance,MCC_warning_buffer_capacity,AUPR_warning_buffer_capacity,MCC_warning_acid_accumulation,AUPR_warning_acid_accumulation,MCC_warning_ammonia_toxicity,AUPR_warning_ammonia_toxicity,MCC_warning_biogas_quality,AUPR_warning_biogas_quality,Macro_MCC,Macro_AUPR,AUPR_evaluable_labels,Micro_AUPR
KNN,4,fold_2,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 15}",-0.07308816827558576,0.4007177033492823,0.5739440431835514,0.45,0.0,0.05263157894736842,0.40219983326992187,0.5,0.4844813951249544,0.5526315789473684,0.27750742066056844,0.3911961722488038,5,0.3486459203564467
KNN,4,fold_3,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 15}",-0.16265001215808886,0.08695652173913043,-0.2041241452319315,0.043478260869565216,0.0,,0.7444444444444445,0.925,0.0,,0.07553405741088481,0.35181159420289854,3,0.13575807244285504
KNN,4,fold_4,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 15}",0.7276068751089989,0.6388888888888888,-0.19245008972987526,0.1,0.0,0.1,0.8921425711997711,0.8178571428571428,0.0,,0.285459871315779,0.4141865079365079,4,0.4472320841551611
KNN,4,fold_5,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 15}",0.479233838298523,0.3458333333333333,-0.26590801173915524,0.058823529411764705,0.0,,0.5504818825631803,0.42329004329004327,0.0,0.043478260869565216,0.15276154182450963,0.21785629172617663,4,0.22329262940106195
KNN,4,pooled_OOF,"{""weights"": ""distance"", ""p"": 1, ""n_neighbors"": 15}",0.305878074058409,0.23879293699501483,-0.058246763437142086,0.07312850407747197,-0.06458176499147496,0.027522935779816515,0.6260187535773305,0.4958859992241996,0.0773548613943271,0.24974515800203875,0.17728463212028994,0.21701510681570832,5,0.21138749856275668
KNN,5,fold_1,"{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 9}",-0.09090909090909091,0.29166666666666663,-0.11396057645963795,0.08333333333333333,0.0,,0.5773502691896257,0.775,-0.07881104062391008,0.041666666666666664,0.058733912239397355,0.29791666666666666,4,0.23863636363636362
KNN,5,fold_2,"{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 9}",0.4898979485566356,0.33878968253968256,0.18448201388042726,0.26666666666666666,0.0,0.05263157894736842,0.40219983326992187,0.26666666666666666,0.20833333333333334,0.33040935672514615,0.2569826258080636,0.2510327903091061,5,0.23930636937644945
KNN,5,fold_3,"{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 9}",-0.16265001215808886,0.12681159420289856,-0.14101901870444156,0.043478260869565216,0.0,,0.7444444444444445,0.7534782608695652,0.0,,0.08815508271638281,0.3079227053140096,3,0.11680502468545946
KNN,5,fold_4,"{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 9}",-0.140028008402801,0.4444444444444445,-0.3685138655950444,0.1,0.0,0.1,0.6633880657639324,0.6218253968253968,0.0,,0.03096923835321741,0.3165674603174603,4,0.24279977825964447
KNN,5,fold_5,"{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 9}",0.29175581826225594,0.5,-0.24308621740219885,0.058823529411764705,0.0,,0.5046083923495819,0.4651948051948052,0.0,0.043478260869565216,0.1106555986419278,0.26687414886903377,4,0.20694108912621131
KNN,5,pooled_OOF,"{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 9}",0.1813511420771799,0.2658198484065424,-0.13668127897907664,0.06290672102960196,-0.04407137788294876,0.027522935779816515,0.5532399104948778,0.46451253664975833,0.04689614184877847,0.07474515800203874,0.12014690751176213,0.17910143997355157,5,0.17788725870271155
