domain,rank,workbook_sample,SampleID,workbook_suffix,Site
ARC,G,2-20-YCGH,2-20,YCGH,YCG
ARC,G,2-21-YCDG,2-21,YCDG,YCD
ARC,G,2-22-UJGN,2-22,UJGN,UJG
ARC,G,2-23-CGSJ,2-23,CGSJ,CGS
ARC,G,2-24-GHGHa,2-24,GHGHa,GHGa
ARC,G,2-25-GHGHb,2-25,GHGHb,GHGb
ARC,G,2-26-GHHM,2-26,GHHM,GHH
ARC,G,2-27-GHJY,2-27,GHJY,GHJ
ARC,G,2-28-MYSN,2-28,MYSN,MYS
ARC,G,2-29-SCHG-ARC,2-29,SCHG-ARC,SCH
ARC,G,2-3-BSIGa,2-3,BSIGa,BSI
ARC,G,2-30-YSDM,2-30,YSDM,YSD
ARC,G,2-31-YSYS,2-31,YSYS,YSY
ARC,G,2-32-JJNG,2-32,JJNG,JJN
ARC,G,2-32'-JJYS,2-32',JJYS,JJY
ARC,G,2-33-CWMS,2-33,CWMS,CWM
ARC,G,2-34-CWSS,2-34,CWSS,CWS
ARC,G,2-4-BSOC,2-4,BSOC,BSO
ARC,G,2-5-BSES,2-5,BSES,BSE
ARC,G,2-6-DGGW,2-6,DGGW,DGG
ARC,G,2-7-DGDS,2-7,DGDS,DGD
ARC,G,2-8-DGJY,2-8,DGJY,DGJ
ARC,G,2-9-DGGB,2-9,DGGB,DGB
