fold,block,feature,training_samples_above_0_1_percent
1,BAC_F,BAC_F::MD2902-B12,0
1,BAC_F,BAC_F::MVP-15,27
1,BAC_F,BAC_F::Marinifilaceae,0
1,BAC_F,BAC_F::Marinilabiliaceae,51
1,BAC_F,BAC_F::Marinimicrobia_(SAR406_clade),20
1,BAC_F,BAC_F::Methylococcaceae,4
1,BAC_F,BAC_F::Methylomonadaceae,13
1,BAC_F,BAC_F::Methylophilaceae,11
1,BAC_F,BAC_F::MgMjR-022,21
1,BAC_F,BAC_F::Microbacteriaceae,33
1,BAC_F,BAC_F::Micrococcaceae,1
1,BAC_F,BAC_F::Micropepsaceae,0
1,BAC_F,BAC_F::Microscillaceae,9
1,BAC_F,BAC_F::Microtrichaceae,28
1,BAC_F,BAC_F::MidBa8,0
1,BAC_F,BAC_F::Monoglobaceae,7
1,BAC_F,BAC_F::Moorellaceae,1
1,BAC_F,BAC_F::Moraxellaceae,11
1,BAC_F,BAC_F::Morganellaceae,1
1,BAC_F,BAC_F::Mycobacteriaceae,19
1,BAC_F,BAC_F::NB1-j,0
1,BAC_F,BAC_F::NK-L14,2
1,BAC_F,BAC_F::NKB15,4
1,BAC_F,BAC_F::Nannocystaceae,0
1,BAC_F,BAC_F::Neisseriaceae,4
1,BAC_F,BAC_F::Nitrosococcaceae,4
1,BAC_F,BAC_F::Nitrosomonadaceae,12
1,BAC_F,BAC_F::Nitrospiraceae,5
1,BAC_F,BAC_F::OLB14,6
1,BAC_F,BAC_F::OM190,0
1,BAC_F,BAC_F::OPB41,7
1,BAC_F,BAC_F::Obscuribacteraceae,2
1,BAC_F,BAC_F::Oligosphaeraceae,7
1,BAC_F,BAC_F::Omnitrophaceae,4
1,BAC_F,BAC_F::Oscillospiraceae,58
1,BAC_F,BAC_F::Oxalobacteraceae,2
1,BAC_F,BAC_F::PB19,0
1,BAC_F,BAC_F::PBS-18,0
1,BAC_F,BAC_F::PHOS-HE36,7
1,BAC_F,BAC_F::PLTA13,8
1,BAC_F,BAC_F::Paludibacteraceae,78
1,BAC_F,BAC_F::Parachlamydiaceae,0
1,BAC_F,BAC_F::PeH15,5
1,BAC_F,BAC_F::PeM15,17
1,BAC_F,BAC_F::Pedosphaeraceae,46
1,BAC_F,BAC_F::Peptococcaceae,19
1,BAC_F,BAC_F::Peptostreptococcaceae,9
1,BAC_F,BAC_F::Peptostreptococcales-Tissierellales,56
1,BAC_F,BAC_F::Petrotogaceae,63
1,BAC_F,BAC_F::Phycisphaeraceae,2
1,BAC_F,BAC_F::Pirellulaceae,33
1,BAC_F,BAC_F::Pla3_lineage,3
1,BAC_F,BAC_F::Planococcaceae,0
1,BAC_F,BAC_F::Porticoccaceae,2
1,BAC_F,BAC_F::Prevotellaceae,26
1,BAC_F,BAC_F::Prolixibacteraceae,51
1,BAC_F,BAC_F::Propionibacteriaceae,3
1,BAC_F,BAC_F::Proteiniboraceae,6
1,BAC_F,BAC_F::Pseudomonadaceae,11
1,BAC_F,BAC_F::RBG-13-54-9,5
1,BAC_F,BAC_F::RBG-16-55-12,5
1,BAC_F,BAC_F::RF39,0
1,BAC_F,BAC_F::Reyranellaceae,1
1,BAC_F,BAC_F::Rhizobiaceae,15
1,BAC_F,BAC_F::Rhizobiales_Incertae_Sedis,14
1,BAC_F,BAC_F::Rhodanobacteraceae,34
1,BAC_F,BAC_F::Rhodobacteraceae,48
1,BAC_F,BAC_F::Rhodocyclaceae,51
1,BAC_F,BAC_F::Rickettsiaceae,0
1,BAC_F,BAC_F::Rikenellaceae,71
1,BAC_F,BAC_F::Rubinisphaeraceae,10
1,BAC_F,BAC_F::Rubrobacteriaceae,0
1,BAC_F,BAC_F::Ruminococcaceae,51
1,BAC_F,BAC_F::Run-SP154,9
1,BAC_F,BAC_F::S15A-MN91,14
1,BAC_F,BAC_F::SB-5,7
1,BAC_F,BAC_F::SBR1031,36
1,BAC_F,BAC_F::SC-I-84,36
1,BAC_F,BAC_F::SHA-4,0
1,BAC_F,BAC_F::SHA-41,1
1,BAC_F,BAC_F::SJA-15,19
