SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,Group
3-10,0.0,0.0,0.0,1.0,0.0,0.0,77.0,0.0,41.0,0.0,0.0,0.0,51.0,0.0,0.0,95.0,777.0,48.0,260.0,0.0,861.0,2825.0,0.0,20.0,180.0,0.0,264.0,0.0,1760.0,94.0,72.0,47.0,0.0,0.0,0.0,Normal
3-11,33.0,0.0,0.0,14.0,30.0,276.0,594.0,0.0,273.0,0.0,0.0,0.0,342.0,581.0,0.0,0.0,1325.0,0.0,16.0,0.0,732.0,2188.0,18.0,0.0,210.0,0.0,0.0,0.0,0.0,777.0,513.0,494.0,42.0,0.0,0.0,Normal
3-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,128.0,0.0,91.0,0.0,175.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,1788.0,4588.0,0.0,1232.0,0.0,51.0,0.0,0.0,23.0,451.0,257.0,306.0,0.0,0.0,0.0,Warning
3-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,324.0,931.0,0.0,590.0,0.0,0.0,0.0,0.0,1218.0,0.0,49.0,0.0,0.0,0.0,0.0,88.0,1381.0,817.0,614.0,513.0,0.0,0.0,383.0,Normal
3-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.0,0.0,0.0,0.0,0.0,456.0,69.0,0.0,0.0,0.0,1400.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Warning
3-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,446.0,0.0,0.0,269.0,754.0,19.0,0.0,0.0,1793.0,2933.0,0.0,0.0,0.0,0.0,134.0,33.0,1406.0,831.0,584.0,575.0,0.0,0.0,0.0,Normal
3-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1384.0,0.0,0.0,0.0,1916.0,447.0,0.0,0.0,169.0,0.0,275.0,0.0,702.0,63.0,41.0,45.0,0.0,0.0,0.0,Normal
3-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,60.0,0.0,95.0,0.0,103.0,0.0,0.0,318.0,0.0,94.0,0.0,0.0,2702.0,2073.0,0.0,0.0,0.0,0.0,0.0,47.0,1793.0,223.0,156.0,120.0,0.0,0.0,0.0,Normal
3-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,419.0,0.0,0.0,570.0,0.0,29.0,0.0,0.0,2923.0,4001.0,0.0,0.0,185.0,0.0,140.0,137.0,653.0,881.0,582.0,542.0,0.0,0.0,0.0,Normal
3-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,82.0,0.0,0.0,3918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,27.0,0.0,0.0,192.0,109.0,117.0,0.0,0.0,0.0,Normal
